Ticker,Date/Time,Close P,Volume,Ty le tang trong ngay,Do bien KL,chieukhau_1thang,chieukhau_2thang,chieukhau_6thang,chieukhau_12thang,chieukhau_thoidai,MA_status,MA_status_up,MA_status_down,Earth3Dailystatus,Earth3Weeklystatus,Pice/MA20,Pice/MA200,So_ngay_tl,Price/BBTopdaily,Price/BBTopdaily,Pricevsbbband,PricevsMA,Earth3_Position,Earth3_Position_weekly,Earth3_Position_trend,Earth3_Position_Weekly_trend,BBandBot,BBandTop,BBbandBot_Wly,BBandTop_Wkl,fib1,fib2 P,fib3,fib4 P,fib5 P,MA20,MA100,MA200,pricevsFib,Mo_hinh_nen
MPC,4/10/2020,20.30,69000.00,-0.0049,-0.0186,-0.0240,-0.1174,-0.1174,-0.4082,-0.5976,2.00,0.00,1.00,2.0000,1.0000,0.0565,-0.1285,3.0000,-0.0387,-0.1125,0,4,96.25,14.99,1,1,17.30,21.12,17.92,22.87,19.95,19.24,18.67,18.09,17.28,19.22,19.96,23.29,1,
MWG,4/10/2020,71.90,844140.00,-0.0151,-0.5249,-0.1156,-0.3499,-0.4008,-0.4383,-0.4383,1.00,0.00,0.00,2.0000,0.0000,0.0147,-0.3407,2.0000,-0.1002,-0.4753,0,1,76.55,5.95,1,1,57.49,79.91,58.87,137.04,78.99,74.65,71.15,67.65,62.66,70.86,102.59,109.06,3,
NVL,4/10/2020,51.60,141650.00,-0.0077,-0.7417,-0.0264,-0.0532,-0.1328,-0.1938,-0.3385,0.00,0.00,1.00,2.0000,1.0000,-0.0037,-0.1061,33.0000,-0.0147,-0.0975,0,2,84.61,10.04,0,1,51.33,52.37,50.59,57.17,52.08,51.51,51.05,50.59,49.93,51.79,54.77,57.72,2,
NKG,4/10/2020,5.22,284090.00,-0.0095,-0.7360,-0.1944,-0.4068,-0.4727,-0.4727,-0.8350,0.00,0.00,0.00,1.0000,0.0000,-0.0042,-0.2063,3.0000,-0.0631,-0.5156,0,2,45.89,3.25,1,1,4.37,5.57,4.21,10.78,6.01,5.70,5.45,5.19,4.84,5.24,7.08,6.58,4,
OIL,4/10/2020,6.50,889400.00,0.0000,0.7888,0.0000,-0.1096,-0.3564,-0.4583,-0.7314,1.00,0.00,0.00,2.0000,1.0000,0.0260,-0.3088,1.0000,-0.0248,-0.2195,3,0,72.92,6.57,1,1,6.00,6.67,5.85,8.33,6.59,6.40,6.25,6.10,5.88,6.34,7.75,9.40,2,
MSN,4/10/2020,61.40,1445720.00,0.0337,-0.4896,0.0337,0.0337,-0.1835,-0.2827,-0.4642,3.00,0.00,0.00,2.0000,1.0000,0.1864,-0.0819,1.0000,-0.0024,0.0260,3,0,100.00,42.03,0,1,43.47,61.55,45.58,59.84,58.70,56.35,54.45,52.55,49.85,51.75,55.83,66.88,1,
MBB,4/10/2020,15.70,5205920.00,-0.0063,-0.2746,-0.0819,-0.2847,-0.3247,-0.3333,-0.4368,1.00,0.00,0.00,2.0000,0.0000,0.0165,-0.2452,4.0000,-0.0569,-0.3715,0,0,80.48,5.83,1,1,13.49,16.65,13.87,24.98,16.78,16.09,15.52,14.96,14.17,15.44,20.13,20.80,0,
PLX,4/10/2020,40.60,1251270.00,0.0150,0.5107,0.0125,-0.1976,-0.2884,-0.3520,-0.4983,1.00,0.00,0.00,2.0000,0.0000,0.0730,-0.2424,1.0000,-0.0178,-0.3216,3,0,85.50,9.89,0,1,34.94,41.34,33.77,59.84,39.64,38.49,37.55,36.62,35.30,37.84,48.90,53.59,1,
NLG,4/10/2020,21.70,1395350.00,0.0046,0.3739,-0.0805,-0.1933,-0.2278,-0.2556,-0.3574,1.00,0.00,0.00,2.0000,0.0000,0.0482,-0.1827,2.0000,-0.0113,-0.2806,0,0,93.04,5.92,1,1,18.58,21.95,19.35,30.16,22.21,21.35,20.65,19.95,18.96,20.70,25.44,26.55,2,/ndoji_standard
POW,4/10/2020,8.60,2761510.00,-0.0126,-0.3443,-0.0337,-0.2110,-0.3745,-0.4342,-0.5169,1.00,0.00,0.00,2.0000,1.0000,0.0613,-0.2866,1.0000,-0.0323,-0.3015,0,0,86.32,7.99,1,1,6.87,8.89,7.35,12.31,8.79,8.42,8.12,7.82,7.39,8.10,10.71,12.05,0,
